date,count
01.10.2017,"0,0019151"
01.11.2017,"0,0024130"
01.12.2017,"0,0029685"
01.01.2018,"0,0036280"
01.02.2018,"0,0079809"
01.03.2018,"0,0098138"
01.04.2018,"0,0151943"
01.05.2018,"0,0200215"
01.06.2018,"0,0252019"
01.07.2018,"0,0296867"
01.08.2018,"0,0327572"
01.09.2018,"0,0345756"
01.10.2018,"0,0385164"
01.11.2018,"0,0425747"
01.12.2018,"0,0467518"
01.01.2019,"0,0510486"
01.02.2019,"0,0554654"
01.03.2019,"0,0600026"
01.04.2019,"0,0646602"
01.05.2019,"0,0694384"
01.06.2019,"0,0743371"
01.07.2019,"0,0793564"
01.08.2019,"0,0844963"
01.09.2019,"0,0897569"
01.10.2019,"0,0951380"
01.11.2019,"0,1006398"
01.12.2019,"0,1062622"
01.01.2020,"0,1120054"
01.02.2020,"0,1178693"
01.03.2020,"0,1238540"
01.04.2020,"0,1299595"
01.05.2020,"0,1361859"
01.06.2020,"0,1425334"
01.07.2020,"0,1490018"
01.08.2020,"0,1555914"
01.09.2020,"0,1623022"
01.10.2020,"0,1691342"
01.11.2020,"0,1760876"
01.12.2020,"0,1831624"
01.01.2021,"0,1903587"
01.02.2021,"0,1976767"
01.03.2021,"0,2051163"
01.04.2021,"0,2126778"
01.05.2021,"0,2203611"
01.06.2021,"0,2281665"
01.07.2021,"0,2360939"
01.08.2021,"0,2441435"
01.09.2021,"0,2523154"
01.10.2021,"0,2606096"
01.11.2021,"0,2690264"
01.12.2021,"0,2775657"
01.01.2022,"0,2862277"
01.02.2022,"0,2950124"
01.03.2022,"0,3039201"
01.04.2022,"0,3129507"
01.05.2022,"0,3221045"
01.06.2022,"0,3313814"
01.07.2022,"0,3407815"
01.08.2022,"0,3503051"
01.09.2022,"0,3599522"
01.10.2022,"0,3697228"
01.11.2022,"0,3796171"
01.12.2022,"0,3896352"
